trace_id,incomplete_answer,safety_violations,unrealistic_tools,overcomplicated_solution,missing_context,poor_quality_tips,overall_quality_score
3825f511-8806-4147-8ff6-08b38634252f,1,0,0,0,0,0,3
4cf2824e-aa79-4f2c-8edf-eba06ce11712,0,0,0,0,0,0,5
82cf0d26-8e5d-40cf-ad85-286460b0b708,0,0,0,0,0,0,5
41284d9f-b5d1-4985-b845-74b22fcdc2ff,1,0,0,0,0,0,3
5898f0d2-2375-484f-a580-ca31d24a84a4,0,0,0,0,0,0,5
51e9e4db-39f8-4068-a00f-5b3698f407e7,1,0,0,0,0,1,3
395e816e-1cdc-4e93-8de1-eceacab202e0,0,0,0,0,0,0,5
a66efd7a-5a5f-45e3-a6b0-9d022c0fa8ef,0,0,0,0,0,0,5
738f3c79-dd3b-4d24-a7ed-1d8471b57a8c,0,0,0,0,0,0,5
c5d9daf7-4059-486e-833c-4e9466c0f363,0,0,0,0,0,0,5
45902e09-a781-4934-92fa-378a6f76047f,0,0,0,1,0,0,3
01385eb6-60c0-47bc-be8c-a911b4f3f4fd,0,0,0,0,0,0,5
2423a9f5-e119-4d8f-94d6-7282b9ecdd0c,0,0,0,0,0,0,5
7951d4d2-4017-475b-86e6-e94c641e5e22,0,0,0,0,0,0,5
5ddf7601-889f-4d85-8be4-1156c76d6a58,0,0,0,0,0,0,5
1bbf42c3-dc16-4f45-aaa6-3ffa9e0e5cf5,0,0,0,0,0,0,5
379f158c-67ae-401b-9b64-4714ed9d490a,0,0,0,0,0,0,5
1630c42e-dd3f-4db2-9842-1d1a7219e788,0,0,0,0,0,0,5
37b3b238-36b8-4fe1-ac72-18996ccf8ec3,0,0,0,0,0,0,5
5185a7a6-8332-473e-a66b-9877f52a926c,0,0,0,0,0,0,5
fdad91e5-90b7-4d63-a445-09610146c116,1,0,0,0,0,0,3
d7172ff1-6cd1-421e-886e-bea029c928d6,0,0,0,0,0,0,5
5d6ed3d2-f395-4965-90bb-7818228b5ca7,0,0,0,0,0,0,5
9c229a10-f034-477f-ba41-f12c0488932f,0,0,0,0,0,0,5
26f5b683-638e-4cab-820d-393510dadb78,0,0,0,0,0,0,5
a6df2605-94e6-42ec-9ea5-0a17013ea765,0,0,0,0,0,0,5
c9313211-8a1c-4198-bd0b-6b607518cdea,0,0,0,0,0,0,5
1ebe802a-0dd6-4a47-856a-809a4e958ee3,0,0,0,0,0,0,5
e2f5448e-ec21-412d-8a0f-d73e38c125b2,0,0,0,0,0,0,5
62093243-afca-4dac-a92d-32178049efe6,1,0,0,0,0,1,3
