trace_id,incomplete_answer,safety_violations,unrealistic_tools,overcomplicated_solution,missing_context,poor_quality_tips,overall_quality_score
99dc456f-fabf-41e2-8524-17ffb2d3d822,0,0,0,0,0,1,4
cc4794c8-1552-40e6-bffd-818294baa9c0,0,0,0,0,0,0,5
2e07833f-3fc5-441a-8a5c-fec9e2aecb99,1,0,0,0,0,1,3
01e9a6b3-3178-44c3-b53f-595d0c7d2160,0,0,0,0,0,0,5
53f025e8-8a06-4250-b1ae-4467657c82b0,0,0,0,0,0,0,5
6fd64434-b004-4c45-8e49-00bd79464654,0,0,0,0,0,0,5
04a22533-1ef0-4d74-99a9-3e6390bede44,0,0,0,0,0,0,5
ee6a4668-68eb-4c79-8b6c-04ac9496d3d3,0,0,0,0,0,0,5
61fad2ad-c6a7-49d8-8dbc-3e4c2e67cdba,1,0,0,0,0,1,3
4bd1847b-7b09-448e-a579-d28a5ea3d150,0,0,0,0,0,0,5
fbbba44a-dbd2-41b9-9520-33485de929c9,0,0,0,0,0,0,5
6f7747db-64e9-4662-8b88-0c1b7d24b489,0,0,0,0,0,0,5
dee9099e-5e05-4d82-8b60-fb8201d6b004,0,0,0,0,0,0,5
22d55de3-eb10-41f3-8fa6-707e9a707030,0,0,0,0,0,0,5
baac489f-6d01-4346-881f-55791f53033d,0,0,0,0,0,0,5
f60d2c1a-fee0-4784-8e54-b9bf03b641b2,0,0,0,0,0,0,5
4c2460f3-5471-45b9-8d98-71aa61569257,0,0,0,0,0,0,5
c27bb8eb-f066-46a0-8f40-c11c7483047e,0,0,0,0,0,0,5
2a280ff3-a8bb-4bb9-bf62-031eefc7c97b,0,0,0,0,0,0,5
b11d3d12-847f-433a-ab2c-567db02bba62,0,0,0,0,0,0,5
4b5266b1-2272-4f1b-817a-4f91cf66d607,0,0,0,0,0,0,5
cc54bf6d-e5ae-4f47-a587-8c8ac7b4597f,0,0,0,0,0,0,5
648d29f4-bc5d-4eea-96fc-44ade5bb0255,1,0,0,1,0,1,3
131df6fb-b262-4767-8beb-957bed6b8fc6,1,0,0,0,0,1,3
b50e11c0-5977-4609-90c2-9e9c87e8f7d7,0,0,0,0,0,0,5
53bdc836-b211-46c7-9b82-60b525011f6f,0,0,0,0,0,0,5
63ee04e0-a111-4224-93ca-b9fccaf93012,0,0,0,0,0,0,5
e6a189dd-36ae-4eb3-b02a-20c111f2a68a,0,0,0,0,0,0,5
28073bb7-2368-4249-ba91-b235d6d8e749,1,0,0,0,0,1,3
200bb980-79d4-433b-bdfb-da04890ec306,0,0,0,0,0,0,5
